#Filename: terminator.dat
# Author : PAN Localization Cambodia
#Version:0.0
# C	CS	WV	NV	SV	EV	WSS	ESS	SSS	VS	INV	ZWNJ	ZWJ	ROBAT

0	1	1	1	1	1	1	1	1	1	0	1	1	1
0	0	1	1	1	1	1	1	1	1	0	1	1	0
0	0	0	0	0	0	1	1	1	1	0	1	1	0
0	0	0	0	0	0	1	1	1	1	0	1	1	0
0	0	0	0	0	0	1	1	1	1	0	1	1	0
0	0	0	0	0	0	1	1	1	1	0	1	1	0
0	1	1	1	1	1	0	1	1	1	0	1	1	0
0	1	1	1	1	1	1	1	1	1	0	1	1	0
0	1	1	1	1	1	1	1	1	1	0	1	1	0
0	0	0	0	0	1	1	1	1	1	0	1	1	0
0	1	1	1	1	1	1	1	1	1	0	1	1	0
0	0	1	1	1	1	1	1	1	1	0	0	1	0
0	0	1	1	1	1	1	1	1	1	0	0	0	0
0	0	1	1	1	1	1	1	1	1	0	1	1	0
